sub_ID,Q6.consent,Q8.covid_info,Q9.covid_knowledge,Q10.rank_attention_to_news,Q13.trust_doctor_news,Q13.trust_hospital_news,Q13.trust_cdc_news,Q13.trust_government_news,Q13.trust_none_of_above,Q14.confidence_us_government,Q16.Belief_scientists_understand_covid,Q17.concerned_outbreak,Q18.likely_to_catch_covid,Q20.ability_to_protect_self,Q21.expected_symptom_severity,Q101.confidence_in_authority,Q23.risk_exaggerated,Q27.wearing_mask,Q35.take_vaccine?,Q40.age,Q41.gender,Q74.education,Q84.community,Q43.health(1.5),Q39.flu.vaccine,Q44.contact_covid,Q85.pre.exisiting_conditions,Q92.friends/family_preexisiting_conditions
66,1,A lot,A little,9,FALSE,FALSE,TRUE,FALSE,,2,9,A moderate amount,30,80,3,35,strongly disagree,sick people,probably,45-49,m,doctorate,suburb,3,TRUE,no,no,no
67,1,A lot,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,7,7,A little,10,85,2,40,NA,sick people,unsure,45-49,f,4 year degree,suburb,5,FALSE,no,no,no
68,1,A moderate amount,A moderate amount,3,FALSE,FALSE,TRUE,FALSE,,5,4,A moderate amount,35,79,3,10,NA,sick people,probably_not,20-24,m,less than highschool,small city/town,3,FALSE,no,no,no
69,1,A lot,A little,10,FALSE,FALSE,TRUE,FALSE,,2,2,A little,50,49,2,48,somewhat disagree,sick people,unsure,40-44,f,highschool graduate,suburb,3,TRUE,yes,no,yes
70,1,A little,A little,2,TRUE,TRUE,TRUE,TRUE,,4,2,A moderate amount,14,18,3,26,stronglyAgree,everyone,definitely,18-19,f,2 year degree,small city/town,4,FALSE,no,unsure,unsure
71,1,A moderate amount,A moderate amount,8,TRUE,FALSE,TRUE,FALSE,,0,7,A little,85,70,3,10,somewhat disagree,sick people,probably_not,40-44,f,doctorate,suburb,2,FALSE,unsure,yes,yes
72,1,A lot,A lot,6,FALSE,FALSE,TRUE,FALSE,,5,5,A lot,39,65,3,70,NA,sick people,unsure,35-39,f,4 year degree,suburb,4,FALSE,no,no,no
73,1,A lot,A lot,8,TRUE,FALSE,TRUE,FALSE,,7,8,NA,50,80,5,50,somewhat disagree,sick people,definitely,65-69,f,doctorate,small city/town,4,TRUE,no,yes,yes
74,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NotAtAll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,1,A lot,A moderate amount,3,FALSE,FALSE,TRUE,FALSE,,7,6,A little,20,70,2,65,stronglyAgree,sick people,definitely,65-69,m,2 year degree,small city/town,4,TRUE,no,unsure,no
76,1,A lot,A lot,6,FALSE,FALSE,TRUE,FALSE,,6,7,A moderate amount,10,70,2,45,stronglyAgree,sick people,definitely,18-19,f,some college,small city/town,3,FALSE,no,no,yes
77,1,A moderate amount,A moderate amount,8,TRUE,FALSE,TRUE,FALSE,,4,7,A moderate amount,19,80,3,50,strongly disagree,sick people,definitely,30-34,f,doctorate,large city,5,FALSE,no,no,yes
78,1,A lot,A moderate amount,7,TRUE,TRUE,FALSE,FALSE,,5,8,A little,59,85,3,70,NA,everyone,probably,18-19,f,highschool graduate,small city/town,3,FALSE,no,no,yes
79,1,A lot,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,5,6,A little,37,23,3,45,NA,everyone,definitely,18-19,f,highschool graduate,small city/town,3,FALSE,no,no,yes
80,1,A little,A little,3,FALSE,FALSE,TRUE,FALSE,,4,4,A moderate amount,12,19,2,21,NA,sick people,probably,20-24,f,2 year degree,small city/town,2,FALSE,no,no,no
81,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,TRUE,,4,6,A little,60,75,4,40,somewhat disagree,everyone,probably,18-19,m,highschool graduate,small city/town,3,TRUE,no,yes,yes
82,1,A lot,A little,3,FALSE,FALSE,TRUE,FALSE,,3,3,A little,10,90,2,20,NA,sick people,probably,18-19,m,2 year degree,small city/town,4,TRUE,no,no,no
83,1,A moderate amount,A little,3,TRUE,TRUE,TRUE,FALSE,,6,8,A moderate amount,40,65,2,25,NA,sick people,probably,40-44,m,4 year degree,ruralArea,4,TRUE,unsure,no,no
84,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,6,7,A moderate amount,9,73,2,50,NA,sick people,unsure,50-54,f,4 year degree,suburb,4,TRUE,no,no,no
85,1,A lot,A moderate amount,5,FALSE,FALSE,TRUE,FALSE,,2,2,NA,41,35,3,62,somewhat disagree,sick people,probably,20-24,f,some college,ruralArea,3,FALSE,no,no,no
86,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1,A moderate amount,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,6,4,A lot,30,70,3,40,NA,sick people,definitely,70-74,m,doctorate,small city/town,4,TRUE,no,no,yes
88,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,TRUE,,4,4,A moderate amount,50,81,4,50,NA,sick people,unsure,20-24,f,4 year degree,small city/town,3,TRUE,no,no,no
89,1,A lot,A moderate amount,9,FALSE,FALSE,FALSE,FALSE,,7,8,A lot,65,65,2,50,strongly disagree,sick people,definitely,35-39,m,4 year degree,suburb,4,TRUE,no,no,yes
90,1,A lot,A lot,8,FALSE,FALSE,TRUE,FALSE,,1,10,NA,50,70,3,10,strongly disagree,sick people,definitely,40-44,m,doctorate,small city/town,4,TRUE,no,no,no
91,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NotAtAll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,2,7,A lot,50,60,2,50,NA,everyone,definitely,20-24,f,4 year degree,large city,5,FALSE,no,no,no
94,1,A lot,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,1,6,A moderate amount,71,60,3,30,strongly disagree,sick people,definitely,35-39,f,doctorate,suburb,3,TRUE,no,unsure,unsure
95,1,A moderate amount,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,4,6,A moderate amount,60,70,2,60,somewhat disagree,everyone,definitely,20-24,m,some college,suburb,4,FALSE,no,no,unsure
96,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,6,5,A moderate amount,52,40,3,80,strongly disagree,sick people,probably,25-29,m,some college,small city/town,3,FALSE,unsure,no,no
97,1,A little,A little,3,FALSE,FALSE,TRUE,FALSE,,0,5,A moderate amount,78,31,4,0,strongly disagree,no one/no mask evidence,definitely,20-24,m,some college,suburb,3,FALSE,unsure,no,yes
98,1,A moderate amount,A moderate amount,5,FALSE,FALSE,TRUE,FALSE,,3,5,A moderate amount,21,40,2,29,stronglyAgree,sick people,probably_not,20-24,f,some college,suburb,2,FALSE,unsure,no,no
99,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,3,8,A moderate amount,25,40,2,86,NA,sick people,definitely,20-24,m,some college,suburb,3,TRUE,no,yes,yes
100,1,A little,A little,2,FALSE,FALSE,FALSE,FALSE,,1,2,A moderate amount,0,70,2,30,NA,sick people,probably_not,20-24,f,some college,suburb,3,FALSE,no,no,yes
101,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,,2,3,A moderate amount,76,70,2,21,strongly disagree,everyone,probably,20-24,f,4 year degree,small city/town,4,TRUE,no,no,yes
102,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,Directly from epidemiologists/health experts from Twitter/blogging,0,3,A little,5,60,3,1,strongly disagree,sick people,probably,30-34,m,4 year degree,large city,4,FALSE,no,no,no
103,1,A lot,A moderate amount,6,FALSE,FALSE,TRUE,TRUE,,7,5,A moderate amount,9,88,3,50,NA,sick people,unsure,30-34,m,4 year degree,suburb,3,FALSE,no,no,yes
104,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,6,7,NA,51,82,3,72,somewhat disagree,no one/no mask evidence,definitely,55-59,f,doctorate,suburb,4,TRUE,no,no,no
105,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,0,6,NA,80,76,3,5,strongly disagree,sick people,definitely,35-39,m,doctorate,suburb,4,TRUE,no,no,yes
107,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,0,7,NA,80,70,2,20,strongly disagree,sick people,definitely,30-34,nb,professional degree,suburb,5,TRUE,no,no,unsure
108,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,2,6,NotAtAll,51,73,1,50,strongly disagree,sick people,definitely,30-34,f,doctorate,large city,3,TRUE,no,no,yes
110,1,A lot,A moderate amount,4,TRUE,FALSE,TRUE,FALSE,,5,7,A little,20,70,2,71,NA,no one/no mask evidence,definitely not,40-44,f,4 year degree,suburb,5,FALSE,unsure,no,no
111,1,A lot,A moderate amount,8,FALSE,TRUE,TRUE,FALSE,,3,6,A little,97,40,2,29,NA,sick people,definitely,25-29,m,4 year degree,large city,4,TRUE,no,yes,yes
112,1,A little,NothingAtAll,1,FALSE,FALSE,FALSE,FALSE,,5,5,A moderate amount,1,100,2,51,NA,everyone,probably,20-24,f,2 year degree,ruralArea,5,FALSE,no,no,no
113,1,A lot,A moderate amount,9,TRUE,FALSE,FALSE,FALSE,,1,5,NA,20,90,3,5,NA,sick people,unsure,25-29,f,4 year degree,suburb,4,TRUE,no,unsure,yes
114,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,TRUE,,4,6,A moderate amount,15,64,2,0,somewhat disagree,sick people,definitely,18-19,f,some college,small city/town,3,FALSE,no,no,no
116,1,A lot,A lot,6,FALSE,FALSE,TRUE,FALSE,,3,7,A little,1,72,2,63,NA,sick people,unsure,20-24,NA,2 year degree,suburb,5,FALSE,no,no,no
117,1,A moderate amount,A little,4,FALSE,FALSE,TRUE,FALSE,,2,6,A little,30,80,2,76,NA,sick people,unsure,25-29,f,some college,small city/town,3,FALSE,no,no,no
118,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,2,8,A little,81,100,2,66,NA,no one/no mask evidence,definitely,20-24,f,highschool graduate,suburb,3,Unsure,no,no,no
119,1,A lot,A moderate amount,5,FALSE,FALSE,TRUE,FALSE,,3,6,NotAtAll,50,90,3,48,NA,sick people,probably,20-24,f,some college,suburb,3,TRUE,no,no,yes
120,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,8,4,A lot,4,94,2,85,NA,sick people,definitely,20-24,f,some college,suburb,5,TRUE,no,no,no
121,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,6,8,A lot,50,70,3,67,NA,sick people,definitely,20-24,f,highschool graduate,suburb,3,FALSE,no,no,yes
122,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,5,1,A little,50,100,2,9,somewhat disagree,sick people,unsure,25-29,f,4 year degree,suburb,4,FALSE,no,no,yes
123,1,A lot,A little,5,FALSE,FALSE,TRUE,FALSE,,5,8,A little,19,73,3,26,stronglyAgree,sick people,probably,20-24,f,some college,suburb,2,FALSE,no,unsure,no
124,1,A moderate amount,A moderate amount,5,TRUE,TRUE,TRUE,TRUE,,8,6,NA,71,70,2,72,NA,sick people,unsure,25-29,f,some college,suburb,5,FALSE,no,no,yes
125,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,1,A lot,A moderate amount,10,FALSE,FALSE,FALSE,FALSE,,5,10,A little,100,50,2,100,NA,sick people,definitely,25-29,m,4 year degree,large city,5,TRUE,no,no,no
127,1,A moderate amount,A moderate amount,1,FALSE,FALSE,TRUE,FALSE,,6,3,A moderate amount,8,11,4,40,NA,sick people,definitely,20-24,m,some college,suburb,3,TRUE,no,no,unsure
128,1,A moderate amount,A little,6,FALSE,FALSE,TRUE,FALSE,,5,8,A moderate amount,55,100,2,73,NA,sick people,definitely,20-24,f,highschool graduate,suburb,3,FALSE,no,yes,yes
129,1,A moderate amount,A little,7,FALSE,FALSE,TRUE,FALSE,,6,5,A moderate amount,10,70,5,80,somewhat disagree,everyone,probably_not,25-29,f,some college,suburb,4,FALSE,no,no,no
130,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,1,5,A little,50,50,3,30,strongly disagree,sick people,probably,20-24,m,4 year degree,suburb,4,FALSE,no,no,unsure
131,1,A moderate amount,A little,6,FALSE,FALSE,TRUE,FALSE,,3,5,A little,15,65,2,35,NA,healthy people,definitely,20-24,f,some college,suburb,4,FALSE,no,no,yes
132,1,A little,NothingAtAll,1,FALSE,FALSE,FALSE,FALSE,,1,1,A moderate amount,2,6,2,3,NA,sick people,definitely,20-24,f,some college,small city/town,3,FALSE,unsure,no,no
133,1,A lot,A moderate amount,4,FALSE,FALSE,TRUE,FALSE,,1,5,A little,6,67,3,11,NA,sick people,unsure,20-24,f,some college,small city/town,3,TRUE,no,no,no
134,1,A lot,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,1,6,A moderate amount,71,50,2,49,NA,no one/no mask evidence,probably_not,40-44,m,highschool graduate,ruralArea,4,FALSE,unsure,no,unsure
