b,r1,r2
b82,2.818452215,-4.216567314
b83,3.215158867,-2.798289299
b84,3.072076022,-5.455416468
b85,4.136763034,-1.956243722
b86,3.13065764,-2.765337597
b87,3.132257817,-3.365730261
b88,1.618515761,-2.731029657
b89,2.961232166,-2.90118849
b90,2.777267636,-2.260367536
b91,2.667684931,-3.800825509
b92,1.696199888,-1.796174286
b93,3.017699192,-1.466785253
b94,1.631528849,-3.306200966
b95,1.74482294,-1.595073282
b96,1.984616897,-5.00653514
b97,2.013665912,-3.020345616
b98,3.735332141,-2.001818439
b99,3.502600196,-4.821040521
b100,2.281461804,-3.010875366
b101,2.772873156,-2.335665088
b102,3.04570195,-2.008148658
b103,2.474734729,-4.326939528
b104,4.023617826,-1.967417254
b105,1.311812029,-3.04967348
b106,3.284599615,-1.898668893
b107,3.584756975,-2.896503512
b108,4.172753023,-0.722440325
b109,2.904875763,-3.985975671
b110,3.662122979,-4.196167385
b111,2.095442553,-2.352890836
b112,2.066001604,-3.533975417
b113,0.720209473,-2.320321994
b114,1.943628368,-2.096843311
b115,2.629181595,-5.268004953
b116,1.762462495,-4.460068799
b117,1.983283574,-1.451273439
b118,1.332102598,-2.24569854
b119,1.69635121,-1.710626122
b120,2.287766036,-2.500216747
b121,2.988025321,-3.868776887
b122,1.321929658,-2.52678751
b123,4.135062253,-4.077125406
b124,0.534000825,-2.006102599
b125,3.943282872,-3.841122683
b126,1.509561676,-2.160205218
b127,4.04454996,-2.328208756
b128,3.849913757,-3.98616641
b129,2.810012455,-5.859173346
b130,1.896527117,-3.56737289
b131,2.616862584,-1.396538187
b132,3.766002198,-2.792752159
b133,2.324132993,-1.285334732
b134,4.112155996,-2.672724748
b135,1.91773982,-1.787918359
b136,1.561389294,-4.832812598
b137,1.348439146,-4.659503195
b138,2.586986626,-3.639866256
b139,2.639584239,-3.767283206
b140,2.251841823,-2.957106894
b141,4.715035479,-1.675627097
b142,3.75186514,-3.059993242
b143,4.343884207,-3.204582409
b144,1.968343284,-3.917866614
b145,2.274875797,-1.504748381
b146,2.730442541,-2.537363659
b147,2.583410809,-3.211993113
b148,1.76276518,-3.374466068
b149,3.697116076,-4.275172901
b150,2.793486602,-3.195144829
b151,3.304960674,-1.836329536
b152,3.163268601,-2.33030464
b153,3.952249858,-2.598015247
b154,1.986414437,-2.753930419
b155,3.074014694,-1.362800496
b156,1.905418638,-2.179886442
b157,2.464971549,-3.444295835
b158,2.96032854,-3.186517836
b159,3.660560056,-1.963423735
b160,2.839736774,-3.711659007
b161,3.171310496,-2.957012541
b162,4.485003329,-3.615749955
b163,1.734154815,-3.756987916
b164,1.488538296,-2.37338427
b165,3.118967782,-1.835924831
b166,3.395196114,-1.726782552
b167,2.352544072,0.488314071
b168,3.37442559,-3.776374815
b169,4.488922936,-3.198011868
b170,4.507997497,-3.302760022
b171,2.803749168,-4.603176665
b172,2.728878351,-2.861011122
b173,2.292126152,-2.323117612
b174,1.8456704,-2.187602563
b175,3.031145153,-3.416803196
b176,3.964096167,-4.349070285
b177,0.417290233,-3.002379406
b178,3.079311929,-3.135416904
b179,3.141102293,-5.631583596
b180,1.66619594,-4.183688897
b181,2.720786197,-3.267851248
b182,2.783409066,-3.36420203
b183,1.463677632,-4.572463233
b184,4.77034311,-1.981518865
b185,3.155168695,-2.507035457
b186,2.480680479,-2.032559821
b187,1.302915301,-2.66082842
b188,5.468209804,-3.321827554
b189,1.233375678,-1.931789092
b190,4.19715049,-3.895758733
b191,3.811333942,-1.466601404
b192,2.585486131,-4.097105657
b193,1.957795877,-3.499548116
b194,2.824881359,-4.6373163
b195,2.00453983,-4.206625965
b196,3.375165129,-3.942644345
b197,3.640979734,-4.860064623
b198,4.235619331,-1.985077293
b199,3.292764281,-1.610255402
b200,3.457221576,-2.316743304
b201,2.878353058,-4.814642566
b202,2.808677346,-3.953308004
b203,3.177478721,-1.916311105
b204,5.477808699,-2.819673591
b205,3.751403027,-2.857531262
b206,2.263001589,-3.466348257
b207,3.478012598,-4.464975508
b208,2.5097621,-2.446820887
b209,1.334716305,-3.903691603
b210,2.262070547,-3.921641427
b211,4.114624844,-4.03439645
b212,2.198190797,-2.981095415
b213,3.245984159,-2.069269735
b214,1.853479351,-3.934102092
b215,1.834301203,-2.826587137
b216,3.009458266,-2.775047765
b217,4.004558163,-4.76206923
b218,3.625356968,-3.10902317
b219,2.530676942,-3.065293865
b220,2.908458936,-3.812111712
b221,2.621710117,-2.17783488
b222,2.791449288,-2.791859656
b223,3.906742439,-2.372248738
b224,2.048560631,-3.563587642
b225,2.156642081,-2.423749105
b226,3.244436523,-2.925935658
b227,2.187340399,-4.296634896
b228,2.637317438,-2.218348219
b229,2.943349918,-2.80499962
b230,2.091629003,-2.1719882
b231,3.410854806,-1.672904138
b232,0.879019154,-2.449826051
b233,1.619778806,-3.145507554
b234,3.360047418,-1.911329282
b235,2.070914995,-2.610494515
b236,3.33549729,-1.905551038
b237,3.491301395,-3.687887858
b238,2.625342372,-0.833528431
b239,1.613686481,-3.504351286
b240,2.715040292,-3.057377886
b241,3.023147578,-3.190443716
b242,2.92364003,-3.647204833
b243,0.848386832,-3.180424685
b244,2.079084546,-1.876742916
b245,2.375747986,-3.2791787
b246,2.048528102,-1.978302546
b247,3.321349887,-3.011314757
b248,2.768717871,-5.351640857
b249,2.758741844,-2.449566216
b250,3.035322747,-1.028737609
b251,2.869352032,-2.158506602
b252,2.346575413,-3.820153525
b253,3.675032894,-2.489493511
b254,1.972941431,-2.590456226
b255,2.675326608,-2.3074802
b256,3.155952563,-1.7639078
b257,1.958932257,-2.637022728
b258,2.755143322,-2.405877448
b259,3.355143093,-3.588362207
b260,2.317315252,-1.601477023
b261,1.79221883,-1.175199653
b262,4.216163749,-2.80849259
b263,2.620286179,-2.335741028
b264,0.778333597,-2.900290168
b265,3.476559655,-3.485625136
b266,3.809674777,0.012167553
b267,3.693344311,-3.572998432
b268,3.801064583,-3.62371257
b269,1.444906128,-1.983704976
b270,3.037569092,-4.187021341
b271,1.968385037,-2.782834945
b272,4.519918725,-1.251224097
b273,3.606616113,-1.500344287
b274,2.069462867,-3.123544671
b275,0.145827946,-1.67531226
b276,1.122443671,-2.925648173
b277,0.181589662,-2.554520438
b278,2.850498443,-3.174223094
b279,3.503753438,-2.607501212
b280,2.610984887,-2.285274832
b281,1.903975531,-1.597741351
b282,3.094515367,-2.251602563
b283,2.692730392,-3.267124248
b284,2.973877131,-2.873662306
b285,2.390431028,-2.251590758
b286,2.909421965,-0.977363302
b287,1.436014558,-2.292817553
b288,3.108524361,-3.224465655
b289,2.528829749,-3.813718579
b290,3.911882466,-1.685309701
b291,3.913458395,-1.175195497
b292,3.28257431,-1.493368842
b293,1.217107935,-3.398107654
b294,3.000617553,-3.415235051
b295,2.403694292,-3.539867599
b296,3.065731715,-2.439887941
b297,3.591612176,-5.062999941
b298,3.101054043,-3.382868921
b299,2.837063111,-6.054704179
b300,3.047313451,-2.904480042
b301,1.383136274,-2.667683076
b302,3.003782481,-4.243442477
b303,3.168757892,-2.029047026
b304,3.403179149,-2.455533705
b305,2.113749059,-1.2712501
b306,3.03782506,-2.595245458
b307,1.05560518,-4.04488841
b308,3.729861509,-4.562590422
b309,2.179088684,-2.58373595
b310,2.33773528,-4.473955437
b311,1.679889633,-1.974425136
b312,2.55119388,-3.7210396
b313,2.492093624,-2.897334144
b314,4.321188686,-3.06346857
b315,2.275381908,-3.277006715
b316,1.517212685,-2.732486046
b317,2.26105801,-2.765948024
b318,3.241431826,-2.255955172
b319,3.235359151,-5.272926917
b320,2.016012079,-1.857385433
b321,1.49097185,-3.031362814
b322,2.064760189,-1.61636457
b323,3.774981363,-3.120454361
b324,3.872773431,-2.164296137
b325,4.134002604,-1.658631457
b326,1.717406237,0.261002204
b327,2.240943491,-3.276220647
b328,0.345976829,-2.811387741
b329,2.876852342,-3.057747724
b330,4.297948683,-4.00532987
b331,4.6814076,-2.263189713
b332,4.213736574,-2.575346476
b333,3.584113909,-3.575916573
b334,3.335623202,-3.221505772
b335,1.726216049,-3.363284938
b336,2.51831608,-3.91070968
b337,1.827998199,-3.944361021
b338,1.542641072,-4.004798442
b339,3.129318177,-3.191850711
b340,2.171085794,-2.02476524
b341,3.208325732,-1.993079141
b342,2.104603072,-3.640448275
b343,0.57261589,-2.475575313
b344,2.577349354,-2.220764133
b345,2.373798668,-2.114742005
b346,5.099188628,-2.985408946
b347,3.353654587,-4.55494902
b348,2.532513826,-2.30788788
b349,2.189895135,-1.808939759
b350,3.229801318,-3.635402974
b351,2.569845808,-2.785986606
b352,4.085236278,-2.445205098
b353,3.267854087,-2.623809329
b354,4.700638523,-1.951220975
b355,3.118551054,-4.418073444
b356,1.797880811,-3.425236223
b357,2.405587506,-1.491854301
b358,2.940463831,-3.912522357
b359,3.423388935,-2.395369057
b360,3.143484216,-2.448988569
b361,0.701641969,-2.497271209
b362,1.992489426,-2.76164614
b363,1.611234098,-3.90408816
b364,1.77178002,-2.379433323
b365,1.185794046,-3.911313849
b366,4.114739532,-1.530158015
b367,1.251583774,-1.462183397
b368,1.906332516,-1.496587235
b369,3.674564835,-3.079774964
b370,2.447449421,-3.210883143
b371,3.824206293,-3.429550468
b372,5.287838969,-2.644362681
b373,2.905353113,-2.265539967
b374,2.978342936,-1.125783119
b375,2.849637025,-1.722217216
b376,1.934696942,-4.441203912
b377,2.982174779,-3.370489291
b378,3.592241565,-3.52972962
b379,1.521730476,-0.056301725
b380,2.416926405,-1.51423017
b381,1.476157,-4.298889037
b382,2.691103176,-4.194912613
b383,2.093164142,-3.550036509
b384,2.517920938,-1.228661487
b385,2.593137994,-2.966854673
b386,1.704944836,-1.710751455
b387,2.404581602,-3.808800694
b388,2.468912662,-2.533165168
b389,1.643068908,-2.732458592
b390,1.175853562,-3.273495013
b391,2.344090622,-2.648672117
b392,1.43954912,-2.939956464
b393,2.499506948,-3.649252949
b394,3.354328538,-1.651776889
b395,1.567604282,-1.247978323
b396,3.128825702,-2.606782297
b397,3.958692325,-2.413376311
b398,1.490616884,-2.819438558
b399,3.144368712,-1.910562876
b400,2.724976716,-2.908613734
b401,2.550875152,-0.810108495
b402,4.824168975,-2.891597344
b403,4.424584253,-4.102046479
b404,3.704786351,-4.208835945
b405,4.1310277,-4.159420109
b406,3.262915684,-1.638041904
b407,3.611239929,-3.192169178
b408,2.59462686,-3.640964556
b409,2.504317136,-3.31988308
b410,3.553469821,-2.421466074
b411,3.483866597,-2.155925986
b412,2.208720119,-2.045162448
b413,3.186436353,-1.734134924
b414,2.291693706,-2.325097146
b415,2.579404064,-3.658482815
b416,3.823290723,-1.965898625
b417,1.799474604,-4.869507273
b418,0.417936888,-4.702936712
b419,3.031077452,-1.899188307
b420,3.848575833,-0.881213302
b421,3.584413317,-3.603011754
b422,4.493629657,-3.347074397
b423,1.476030506,-1.410373641
b424,4.50717725,-3.874647774
b425,2.793242562,-4.770731554
b426,2.507660842,-3.172837624
b427,3.571617947,-3.195273017
b428,3.727697889,-1.688163556
b429,1.123747829,-3.816010038
b430,3.649539526,-3.672977981
b431,3.735187186,-3.227042044
b432,2.900481343,-3.283438418
b433,3.053940864,-1.455894571
b434,3.626477648,-3.489334039
b435,2.790705073,-2.197193128
b436,3.099881469,-2.964757169
b437,4.152167616,-1.457561079
b438,3.967924647,-2.690193009
b439,3.301075658,-3.299014423
b440,2.583924545,-2.523738022
b441,1.21300555,-2.847345002
b442,2.174887302,-2.75346805
b443,4.571490141,-3.000286651
b444,2.712679522,-2.853235976
b445,2.504012447,-2.953884137
b446,2.390208719,-2.143061528
b447,4.271517988,-1.775042687
b448,0.856347643,-2.320005507
b449,2.38968791,-2.946675876
b450,3.470160712,-3.416958686
b451,2.541630627,-4.077671927
b452,3.386061374,-4.408746153
b453,3.976025362,-3.557356979
b454,1.513058589,-2.911494484
b455,2.814489517,-2.985761327
b456,3.559998746,-2.233884673
b457,2.817201207,-2.581947442
b458,3.111930752,-2.102482178
b459,3.33294156,-3.918989669
b460,3.000925335,-4.12203338
b461,2.423810885,-2.53724125
b462,2.748566601,-3.067241809
b463,3.861225257,-3.206975122
b464,3.067100236,-3.749012551
b465,2.197260416,-4.296718705
b466,2.127514323,-2.787279366
b467,1.596237202,-3.619040327
b468,2.676555011,-2.578878253
b469,2.131542139,-2.632199658
b470,2.500224319,-2.83535893
b471,0.824927187,-3.45458222
b472,2.401898835,-2.565088583
b473,2.471805848,-3.730526962
b474,1.26124155,-3.481399588
b475,4.785979807,-4.496674289
b476,3.168291761,-2.943083658
b477,3.721939919,-2.064885736
b478,2.096361308,-1.861534528
b479,1.895086547,-3.218521466
b480,1.156967739,-2.908056445
b481,1.78225446,-2.436798658
b482,2.963388982,-3.982352448
b483,2.426457547,-2.571379583
b484,1.164396275,-2.905151404
b485,2.19417196,-3.720184986
b486,5.690638895,-4.053298448
b487,2.294920965,-3.761913944
b488,3.833123301,-3.618568499
b489,2.596054984,-2.019751755
b490,4.339864523,-2.799569883
b491,2.878939545,-3.608840855
b492,5.081199727,-3.232803696
b493,2.796875794,-2.271706996
b494,2.702837818,-1.978630182
b495,4.219208871,-4.085330005
b496,4.921694748,-2.879426932
b497,3.736793109,-3.704319229
b498,1.087343805,-2.287336625
b499,3.81328046,-1.569013348
b500,-0.440296073,-2.978507417
b501,5.838707463,-3.292938373
b502,2.085619608,-1.832889679
b503,6.307267637,-3.354765795
b504,3.752386722,-2.040157802
b505,2.296612366,-3.171621397
b506,2.059788955,-2.324295969
b507,3.901773881,-1.668218244
b508,3.073983601,-2.567077517
b509,2.124011733,-1.628816219
b510,1.8248,-1.298120073
b511,2.687172491,-3.366894622
b512,4.776632342,-2.340108138
b513,1.84899135,-3.703670826
b514,4.472081004,-0.973729773
b515,2.155886404,-4.06496453
b516,4.919222784,-2.625500903
b517,3.476853629,-2.825945428
b518,1.227712466,-3.569033991
b519,2.116794936,-1.90106391
b520,3.167386118,-3.160210978
b521,2.45913308,-2.312626649
b522,1.912679726,-2.005172773
b523,2.74291707,-3.951733373
b524,2.618579145,-3.438809864
b525,2.37401755,-3.671959841
b526,1.546831595,-0.882278307
b527,3.11873782,-1.364689528
b528,4.086231165,-2.66263451
b529,2.249934334,-1.592229003
b530,3.558934383,-2.508497871
b531,2.341093751,-2.324020504
b532,3.764726652,-3.265680781
b533,2.641291788,-2.62078298
b534,1.819611648,-3.376664081
b535,4.452032311,-2.687404529
b536,1.734846756,-4.164592339
b537,2.516603713,-2.712889077
b538,2.427812548,-2.133610789
b539,4.314853505,-2.448303642
b540,3.809034422,-4.269167231
b541,2.745372053,-4.043592634
b542,4.732050328,-3.734608284
b543,2.649052787,-2.581223644
b544,2.517093111,-1.327595669
b545,2.736983934,-2.277225469
b546,2.690419452,-3.759534279
b547,2.342958419,-3.156275053
b548,1.514995433,-3.472589084
b549,1.331530372,-2.048378944
b550,-0.240990921,-2.380148684
b551,1.868335297,-3.17139919
b552,3.214696721,-4.117433227
b553,4.2225844,-2.617060458
b554,2.809836107,-3.488113717
b555,2.53994305,-2.452031876
b556,1.865100497,-2.687732625
b557,3.806778693,-0.645993555
b558,2.748564683,-2.531030252
b559,3.004241624,-2.35429854
b560,2.797363035,-2.706580517
b561,2.322614116,-2.423792564
b562,1.582781838,-3.48013725
b563,2.217000874,-0.473495627
b564,2.580430563,-3.682359905
b565,3.18834082,-1.282759797
b566,4.226431884,-3.220724543
b567,2.602556151,-1.80959523
b568,1.732012837,-1.942105196
b569,2.782225457,-4.449667052
b570,2.042849419,-2.374480196
b571,1.686390479,-2.553623939
b572,2.215279116,-3.004137952
b573,2.671607337,-2.586548734
b574,4.048156624,-2.448990881
b575,3.300058674,-2.521119146
b576,2.653772148,-2.834511165
b577,1.433983122,-2.742087338
b578,3.791941063,-2.155178121
b579,3.08144543,-1.097510083
b580,2.47453875,-2.802107764
b581,2.146325743,-3.226569953
b582,3.449781956,-2.989818269
b583,4.88967065,0.114831967
b584,2.315176049,-0.907815291
b585,4.478290616,-2.958922813
b586,1.859702139,-3.420484693
b587,4.04617173,-3.291195836
b588,2.029449593,-2.928165414
b589,3.401136276,-2.901902565
b590,2.713156424,-3.416901391
b591,3.205336964,-2.49550308
b592,3.007469529,-2.067869773
b593,1.366335443,-4.105468596
b594,2.389697827,-3.805838567
b595,2.882352056,-4.026137119
b596,4.130537045,-3.574285106
b597,3.149754768,-4.115141031
b598,1.657604391,-5.424997159
b599,1.497475129,-3.093962408
b600,2.749688849,-2.930921101
b601,2.853339715,-1.559595872
b602,3.35104922,-3.12633014
b603,2.737711457,-1.979750996
b604,3.061450953,-1.733322345
b605,2.822228309,-0.961246579
b606,3.879074056,-2.332715824
b607,2.836612974,-2.482394024
b608,3.470230629,-1.750160189
b609,2.925304625,-2.389496891
b610,1.059169687,-3.425550461
b611,2.542200158,-2.213881936
b612,3.116017812,-2.446345444
b613,2.561841207,-1.817302347
b614,1.408946967,-2.447518308
b615,4.147416966,-3.717395617
b616,4.371268314,-3.027933844
b617,3.230239574,-3.116746301
b618,4.539213873,-3.319095413
b619,4.655380149,-2.36939244
b620,1.648410796,-3.64425985
b621,2.516439241,-4.31734215
b622,2.245049129,-1.185002638
b623,2.14329308,-0.997592824
b624,3.349519575,-4.069699409
b625,1.916092498,-4.501161817
b626,2.611780762,-2.312451097
b627,3.182578833,-3.386361583
b628,3.262042535,-3.861702974
b629,1.870219215,-5.532947318
b630,3.320355093,-1.524738293
b631,1.173435994,-4.592275017
b632,2.241681685,-2.470468951
b633,3.696493557,-3.887315537
b634,3.501998302,-1.567183854
b635,3.837660582,-3.140426937
b636,2.036216546,-2.754176641
b637,2.765114703,-3.805518692
b638,1.952992937,-1.687227561
b639,2.808618457,-4.014494851
b640,2.143653101,-4.569252417
b641,2.137926628,-2.748961729
b642,2.8403473,-3.758815195
b643,3.685451252,-2.602768936
b644,1.393055672,-2.602447496
b645,2.446247539,-3.975902245
b646,2.319242423,-3.422995197
b647,2.628356806,-4.309815301
b648,-0.548070168,-0.751067199
b649,3.883178048,-0.89931352
b650,3.606627678,-2.796448791
b651,2.159801557,-3.224749844
b652,2.821040488,-1.468145859
b653,3.150104607,-2.483757134
b654,3.439947118,-3.100986577
b655,1.981232704,-3.392257683
b656,3.425025847,-3.49814341
b657,3.819405979,-2.77008747
b658,1.465177972,-3.642639277
b659,0.754677362,-1.431074921
b660,2.869233319,-2.06387099
b661,2.009649897,-4.60099823
b662,0.84396781,-2.931446214
b663,2.820243131,-3.280800392
b664,1.831945329,-2.238868611
b665,3.485817294,-1.885929607
b666,4.126882254,-1.391656457
b667,2.403703352,-3.297273068
b668,3.206114073,-3.120522646
b669,2.497914653,-1.945504636
b670,3.227424433,-4.612750997
b671,3.702075529,-2.675412751
b672,3.273560901,-3.227405669
b673,2.745584496,-2.020843421
b674,3.250813734,-3.381804006
b675,2.415472312,-1.650628716
b676,2.992786293,-3.192119685
b677,2.768088258,-3.868175813
b678,4.469368741,-3.87894429
b679,3.880401776,-2.794981366
b680,3.466306136,-4.21863879
b681,1.972769384,-4.163894249
b682,1.510007946,-4.716211904
b683,2.49248861,-4.021098592
b684,3.615329746,-3.659118275
b685,0.710942788,-5.399135337
b686,3.302412167,-3.216047355
b687,2.823756548,-1.096658954
b688,3.241064627,-1.437531731
b689,4.204483231,-3.254975947
b690,1.630192774,-3.147154349
b691,1.801125,-2.327603553
b692,4.284277648,-1.894976386
b693,1.930043945,-2.303038926
b694,3.489871819,-3.786090049
b695,4.244281553,-2.208257324
b696,1.751498289,-4.81266888
b697,4.780971282,-1.253874584
b698,2.776998895,-4.115725189
b699,1.957623253,-3.1500433
b700,1.561357351,-2.650225273
b701,2.641725023,-3.018448546
b702,1.674609002,-2.506911277
b703,1.234647528,-3.523612091
b704,1.360260566,-4.73648926
b705,1.936610526,-3.049175972
b706,1.147364125,-4.603635448
b707,3.086996158,-4.57666761
b708,3.850907796,-1.327758845
b709,3.963422555,-3.041825074
b710,0.805696875,-3.687057691
b711,2.497946916,-2.852071776
b712,3.544196041,-2.755689213
b713,2.635117777,-0.623031198
b714,3.412011892,-2.172521338
b715,3.301535091,-2.15780254
b716,2.62622533,-1.889727615
b717,2.719954246,-5.178079143
b718,2.093692657,-3.34981166
b719,1.869288131,-3.924116382
b720,2.831079996,-3.021546061
b721,1.756508186,-2.798913219
b722,1.683151343,-4.670943488
b723,4.458436907,-2.255785763
b724,3.619635443,-1.819735968
b725,1.908896217,-3.814964706
b726,1.755391144,-1.388666556
b727,5.413651276,-3.337086022
b728,3.133591477,-3.250802074
b729,3.51545527,-2.645053831
b730,2.87350442,-2.851999022
b731,2.141757384,-2.183847992
b732,3.694713868,-1.655393266
b733,4.113021898,-3.428340555
b734,2.867315088,-2.533950614
b735,2.775436331,-2.89169517
b736,3.391857174,-2.690930664
b737,2.931833643,-1.90826999
b738,4.089865346,-3.270578777
b739,3.101519104,-2.093438028
b740,1.962936574,-3.204713523
b741,3.734480498,-1.405863857
b742,2.181150997,-2.819266059
b743,2.972817438,-2.416254965
b744,0.51513453,-2.468105789
b745,1.436842044,-1.564358676
b746,2.202668369,-1.669357812
b747,2.22068483,-3.215373091
b748,3.000994611,-2.970494
b749,2.641902405,-1.4493562
b750,3.299306285,-2.780029579
b751,1.737443427,-2.954408873
b752,1.238190835,-5.005321483
b753,3.500492813,-2.140864581
b754,2.577268569,-2.442306139
b755,2.881698542,-3.880830983
b756,3.903203081,-3.945212583
b757,4.815931056,-3.443728313
b758,5.086404392,-2.308203919
b759,1.314382604,-3.005217773
b760,4.09486409,-2.859386737
b761,4.985919071,-1.554572815
b762,3.267245351,-2.147407299
b763,2.923085839,-3.403240446
b764,1.956674728,-1.488497906
b765,4.205077381,-2.814374541
b766,2.177278508,-2.967800688
b767,1.591909367,-3.679698062
b768,4.342534704,-2.593948551
b769,2.266373722,-4.138454168
b770,2.723555254,-3.902826268
b771,4.871781315,-3.518572466
b772,1.924013842,-3.865393456
b773,3.098169581,-2.632243181
b774,3.917997804,-3.441877441
b775,3.064026635,-1.53084115
b776,2.321218416,-1.972584461
b777,3.654949127,-2.246974496
b778,2.50371976,-3.045699747
b779,2.62265275,-1.841927654
b780,0.392592425,-3.757163291
b781,3.769987383,-3.09621682
b782,4.230122734,-3.723249307
b783,2.884496895,0.801394488
b784,2.751932252,-3.595506841
b785,4.041883302,-4.179753518
b786,2.126894484,-3.456294248
b787,4.356069535,-1.839030925
b788,3.368868346,-1.38316292
b789,2.79084382,-2.614145157
b790,3.045885709,-3.727799318
b791,2.915321247,-1.955215617
b792,3.134666695,-3.976931389
b793,2.933661386,-3.99163629
b794,1.824974387,-3.420115209
b795,1.514190684,-4.295218682
b796,1.222442836,-1.720277562
b797,1.535923729,-2.889254473
b798,2.101863325,-3.235597621
b799,1.083064695,-1.419027883
b800,3.883595188,-3.017705015
b801,0.905909596,-3.541224841
b802,3.31488005,-4.733289562
b803,2.361781582,-1.153931243
b804,4.04753883,-2.958872513
b805,2.99531205,-3.289113315
b806,2.160887242,-2.256732957
b807,1.027104965,-2.383529636
b808,2.991261507,-2.285616471
b809,2.914921261,-3.13863372
b810,3.207096781,-3.073452023
b811,4.811846267,-3.996660166
b812,3.790161405,-3.984239456
b813,3.398693822,-3.992691903
b814,2.61333663,-3.399343072
b815,3.186541275,-1.586069739
b816,2.151542281,-1.097435836
b817,4.528870303,-2.966339975
b818,3.443176201,-2.013666369
b819,3.285417423,-1.634004586
b820,3.99082511,-3.380886068
b821,3.515392749,-1.538876427
b822,2.495303371,-3.204434331
b823,2.649540327,-2.840633636
b824,1.216870232,-3.799929496
b825,4.162592801,-3.449445897
b826,0.725878488,-3.983471515
b827,2.263455543,-3.412122898
b828,3.517589324,-2.25177014
b829,3.628542508,-1.715608372
b830,2.547269794,-2.966527261
b831,0.700593845,-1.833666839
b832,2.581147759,-1.94994501
b833,1.798875635,-2.190568504
b834,1.967993121,-2.072510903
b835,1.328290905,-0.963285389
b836,3.474863668,-0.497195217
b837,3.119500887,-4.72175492
b838,4.967049589,-3.05505522
b839,3.195294643,-2.144228309
b840,1.323234856,-2.238491356
b841,2.766203328,-1.816136891
b842,1.359938071,-2.603356655
b843,3.795909486,-0.101142955
b844,2.452508194,-4.278692829
b845,3.812068288,-3.31346989
b846,3.350254609,-2.156919999
b847,3.304459887,-2.853520139
b848,3.906721494,-4.953053614
b849,1.32697365,-2.291526677
b850,3.522834063,-2.191558696
b851,4.473309558,-3.547383047
b852,2.953552211,-1.168202994
b853,2.716050047,-2.633222596
b854,1.512904423,-3.47306064
b855,2.861139917,-2.855881078
b856,2.237651783,-4.264255605
b857,2.740001964,-2.20026609
b858,3.201890593,-2.484852124
b859,3.10658782,-5.231652159
b860,2.776564361,-6.110749828
b861,1.739823967,-4.087642287
b862,3.225123576,-2.689911141
b863,3.340027994,-0.171503907
b864,2.579421715,-1.493173464
b865,2.061538965,-4.902455864
b866,1.738278301,-2.28760358
b867,3.418668598,-2.932951817
b868,3.876362857,-2.742012143
b869,1.092936983,-2.502977332
b870,3.151706777,-2.793611106
b871,3.049645401,-3.143997428
b872,3.493276445,-2.238795245
b873,2.307264372,-3.585664912
b874,2.307260925,-1.931698545
