"","ID","Timestamp","Interest","ExperienceR","ExperienceOther","OtherLangs","Lab","CollegeYear","MonthBorn","StateBorn","Drinks","Height4","Height5","Height6","LastQuestion","height_clean","soda_clean"
"32",32,"5/21/2025 14:29","Yes",1,1,NA,"LCD (Srinivasan)",NA,"April","CA","Soda",NA,"4 in",NA,"Yes",64,"soda"
"33",33,"5/21/2025 16:04","Yes",2,3,"Python","LCD (Srinivasan)","Freshman","August","Other","Soda",NA,"1 in",NA,"No",61,"soda"
"34",34,"5/21/2025 16:06","Yes",2,3,"Python","LCD (Srinivasan)","Freshman","August","Other","Soda",NA,"1 in",NA,"No",61,"soda"
"35",35,"5/21/2025 19:07","Yes",3,2,NA,"LCD (Srinivasan)","Senior","November","CA","Beverages",NA,"6 in",NA,"No",66,"other"
"36",36,"5/21/2025 19:20","Yes",4,4,NA,"LCD (Srinivasan)","Senior","January","GA","drinks",NA,"4 in",NA,"No",64,"other"
"37",37,"5/22/2025 14:34","Yes",4,3,"Python","ID Lab","Senior","September","Other","beverage",NA,"6 in",NA,"Yes",66,"other"
"38",38,"5/27/2025 12:31","Yes",5,4,"C++","Kidd Lab (Kidd)","Junior","February","Other","soft drinks",NA,"4 in",NA,"No",64,"other"
"39",39,"5/27/2025 13:22","Yes",3,3,NA,"Kidd Lab (Kidd)","Senior","October","Other","pop",NA,"8 in",NA,"No",68,"other"
"40",40,"5/29/2025 16:48","Yes",5,5,NA,"Social Origins (Engelmann)","Senior","December","MD","Soda",NA,"11 in",NA,"Yes",71,"soda"
"41",41,"5/29/2025 17:19","Yes",4,4,NA,"BELL (Xu)","Junior","May","NY","soda",NA,"2 in",NA,"No",62,"soda"
